state_name_harmonized,gbd_road_dalys_n,gbd_road_deaths_n,morth_road_deaths_n,rank_gbd_road_dalys,rank_gbd_road_deaths,rank_morth_road_deaths,rank_mismatch_daly_vs_morth,notable_mismatch,rank_mismatch_gbd_death_vs_morth
All India,,,172890.0,94.0,187.0,1.0,93.0,True,186.0
Andhra Pradesh,,117.59945425967868,8137.0,94.0,135.0,46.5,47.5,True,88.5
Andhra Pradesh,,12671.810688190551,8137.0,94.0,12.0,46.5,47.5,True,-34.5
Andhra Pradesh,,4230.411175680431,8137.0,94.0,41.0,46.5,47.5,True,-5.5
Andhra Pradesh,,575.6630968203729,8137.0,94.0,103.0,46.5,47.5,True,56.5
Andhra Pradesh,,4766.041628335362,8137.0,94.0,33.0,46.5,47.5,True,-13.5
Andhra Pradesh,,2982.0953330947123,8137.0,94.0,55.0,46.5,47.5,True,8.5
Arunachal Pradesh,,255.9367238218696,,94.0,118.0,124.5,-30.5,True,-6.5
Arunachal Pradesh,,52.64484785036468,,94.0,156.0,124.5,-30.5,True,31.5
Arunachal Pradesh,,16.864286744985392,,94.0,170.0,124.5,-30.5,True,45.5
Arunachal Pradesh,,90.43611023588971,,94.0,143.0,124.5,-30.5,True,18.5
Arunachal Pradesh,,95.16973204295178,,94.0,140.0,124.5,-30.5,True,15.5
Arunachal Pradesh,,0.8217469476781071,,94.0,185.0,124.5,-30.5,True,60.5
Assam,,6289.789280362927,,94.0,26.0,124.5,-30.5,True,-98.5
Assam,,1836.498306595449,,94.0,70.0,124.5,-30.5,True,-54.5
Assam,,776.7965434313434,,94.0,93.0,124.5,-30.5,True,-31.5
Assam,,1944.1181907244363,,94.0,67.0,124.5,-30.5,True,-57.5
Assam,,1706.774489344615,,94.0,74.0,124.5,-30.5,True,-50.5
Assam,,25.60175026708461,,94.0,164.0,124.5,-30.5,True,39.5
Bihar,,18967.47729548264,8873.0,94.0,3.0,40.5,53.5,True,-37.5
Bihar,,8810.929927494062,8873.0,94.0,16.0,40.5,53.5,True,-24.5
Bihar,,1145.034855015521,8873.0,94.0,81.0,40.5,53.5,True,40.5
Bihar,,5395.653287262788,8873.0,94.0,28.0,40.5,53.5,True,-12.5
Bihar,,3546.096642487959,8873.0,94.0,49.0,40.5,53.5,True,8.5
Bihar,,69.76258322228442,8873.0,94.0,152.0,40.5,53.5,True,111.5
Chhattisgarh,,8321.169183531429,,94.0,19.0,124.5,-30.5,True,-105.5
Chhattisgarh,,1858.081154142356,,94.0,68.0,124.5,-30.5,True,-56.5
Chhattisgarh,,747.9069104055495,,94.0,95.0,124.5,-30.5,True,-29.5
Chhattisgarh,,3852.526471499761,,94.0,44.0,124.5,-30.5,True,-80.5
Chhattisgarh,,1772.8803645698574,,94.0,72.0,124.5,-30.5,True,-52.5
Chhattisgarh,,89.77428291390632,,94.0,144.0,124.5,-30.5,True,19.5
Delhi,,2415.0583904702366,,94.0,61.0,124.5,-30.5,True,-63.5
Delhi,,690.9275671690348,,94.0,100.0,124.5,-30.5,True,-24.5
Delhi,,262.44872522261386,,94.0,117.0,124.5,-30.5,True,-7.5
Delhi,,864.8214412804184,,94.0,88.0,124.5,-30.5,True,-36.5
Delhi,,573.936621829567,,94.0,104.0,124.5,-30.5,True,-20.5
Delhi,,22.924034968603348,,94.0,167.0,124.5,-30.5,True,42.5
Goa,,398.1635187814792,,94.0,112.0,124.5,-30.5,True,-12.5
Goa,,88.57846747313037,,94.0,145.0,124.5,-30.5,True,20.5
Goa,,12.750089764099986,,94.0,173.0,124.5,-30.5,True,48.5
Goa,,224.3531536655012,,94.0,124.0,124.5,-30.5,True,-0.5
Goa,,71.0627073245039,,94.0,151.0,124.5,-30.5,True,26.5
Goa,,1.4191005542436224,,94.0,184.0,124.5,-30.5,True,59.5
Gujarat,,3739.3001344349686,7854.0,94.0,45.0,52.5,41.5,True,-7.5
Gujarat,,822.5305266780392,7854.0,94.0,92.0,52.5,41.5,True,39.5
Gujarat,,7660.731877935128,7854.0,94.0,22.0,52.5,41.5,True,-30.5
Gujarat,,4887.352579291734,7854.0,94.0,30.0,52.5,41.5,True,-22.5
Gujarat,,105.6015982153662,7854.0,94.0,137.0,52.5,41.5,True,84.5
Gujarat,,17215.51671655524,7854.0,94.0,7.0,52.5,41.5,True,-45.5
Haryana,,7657.69712652339,,94.0,23.0,124.5,-30.5,True,-101.5
Haryana,,1677.364944434559,,94.0,76.0,124.5,-30.5,True,-48.5
Haryana,,710.205212465709,,94.0,98.0,124.5,-30.5,True,-26.5
Haryana,,3540.9313132860498,,94.0,50.0,124.5,-30.5,True,-74.5
Haryana,,1684.3401551200764,,94.0,75.0,124.5,-30.5,True,-49.5
Haryana,,44.85550121699767,,94.0,159.0,124.5,-30.5,True,34.5
Himachal Pradesh,,1177.4377018892828,,94.0,80.0,124.5,-30.5,True,-44.5
Himachal Pradesh,,228.3861597075688,,94.0,123.0,124.5,-30.5,True,-1.5
Himachal Pradesh,,78.1499587396598,,94.0,148.0,124.5,-30.5,True,23.5
Himachal Pradesh,,405.1872626021391,,94.0,109.0,124.5,-30.5,True,-15.5
Himachal Pradesh,,460.3613596791653,,94.0,107.0,124.5,-30.5,True,-17.5
Himachal Pradesh,,5.352961160749063,,94.0,177.0,124.5,-30.5,True,52.5
Jammu & Kashmir and Ladakh,,2432.402017651997,,94.0,60.0,124.5,-30.5,True,-64.5
Jammu & Kashmir and Ladakh,,845.638761453478,,94.0,90.0,124.5,-30.5,True,-34.5
Jammu & Kashmir and Ladakh,,92.74587602711382,,94.0,141.0,124.5,-30.5,True,16.5
Jammu & Kashmir and Ladakh,,732.0949669027532,,94.0,97.0,124.5,-30.5,True,-27.5
Jammu & Kashmir and Ladakh,,747.2001567406297,,94.0,96.0,124.5,-30.5,True,-28.5
Jammu & Kashmir and Ladakh,,14.722256528023436,,94.0,172.0,124.5,-30.5,True,47.5
Jharkhand,,18.38258673163194,,94.0,169.0,124.5,-30.5,True,44.5
Jharkhand,,8086.974853590428,,94.0,20.0,124.5,-30.5,True,-104.5
Jharkhand,,2805.738257266848,,94.0,56.0,124.5,-30.5,True,-68.5
Jharkhand,,921.2440375042044,,94.0,86.0,124.5,-30.5,True,-38.5
Jharkhand,,1957.2236900162943,,94.0,65.0,124.5,-30.5,True,-59.5
Jharkhand,,2384.386282071453,,94.0,62.0,124.5,-30.5,True,-62.5
Karnataka,,12706.073239283136,12321.0,94.0,11.0,28.5,65.5,True,-17.5
Karnataka,,3049.549474290533,12321.0,94.0,53.0,28.5,65.5,True,24.5
Karnataka,,550.2679230090424,12321.0,94.0,105.0,28.5,65.5,True,76.5
Karnataka,,5759.142347734974,12321.0,94.0,27.0,28.5,65.5,True,-1.5
Karnataka,,3264.596831966456,12321.0,94.0,52.0,28.5,65.5,True,23.5
Karnataka,,82.51666228212945,12321.0,94.0,147.0,28.5,65.5,True,118.5
Kerala,,4731.947596958879,,94.0,34.0,124.5,-30.5,True,-90.5
Kerala,,1301.4207847722294,,94.0,79.0,124.5,-30.5,True,-45.5
Kerala,,398.2950980698799,,94.0,111.0,124.5,-30.5,True,-13.5
Kerala,,2153.658424993976,,94.0,63.0,124.5,-30.5,True,-61.5
Kerala,,855.7554925365241,,94.0,89.0,124.5,-30.5,True,-35.5
Kerala,,22.81779658627073,,94.0,168.0,124.5,-30.5,True,43.5
Madhya Pradesh,,17536.853175533815,13798.0,94.0,6.0,22.5,71.5,True,-16.5
Madhya Pradesh,,4664.48072538732,13798.0,94.0,35.0,22.5,71.5,True,12.5
Madhya Pradesh,,1376.1795823961618,13798.0,94.0,78.0,22.5,71.5,True,55.5
Madhya Pradesh,,6852.7253496786525,13798.0,94.0,24.0,22.5,71.5,True,1.5
Madhya Pradesh,,4517.617587523597,13798.0,94.0,38.0,22.5,71.5,True,15.5
Madhya Pradesh,,125.84993054808298,13798.0,94.0,130.0,22.5,71.5,True,107.5
Maharashtra,,17735.866456942338,15366.0,94.0,5.0,16.5,77.5,True,-11.5
Maharashtra,,4820.67971727419,15366.0,94.0,31.0,16.5,77.5,True,14.5
Maharashtra,,691.6796774456116,15366.0,94.0,99.0,16.5,77.5,True,82.5
Maharashtra,,8494.825988447934,15366.0,94.0,17.0,16.5,77.5,True,0.5
Maharashtra,,3586.1439541434465,15366.0,94.0,47.0,16.5,77.5,True,30.5
Maharashtra,,142.5371196311547,15366.0,94.0,129.0,16.5,77.5,True,112.5
Manipur,,920.3473399607616,,94.0,87.0,124.5,-30.5,True,-37.5
Manipur,,303.2353629638093,,94.0,114.0,124.5,-30.5,True,-10.5
Manipur,,43.66849386451412,,94.0,160.0,124.5,-30.5,True,35.5
Manipur,,326.33890922576,,94.0,113.0,124.5,-30.5,True,-11.5
Manipur,,240.05023966844587,,94.0,122.0,124.5,-30.5,True,-2.5
Manipur,,7.05433423823251,,94.0,176.0,124.5,-30.5,True,51.5
Meghalaya,,535.2733848660648,,94.0,106.0,124.5,-30.5,True,-18.5
Meghalaya,,182.52721966966675,,94.0,127.0,124.5,-30.5,True,2.5
Meghalaya,,34.4130134551081,,94.0,162.0,124.5,-30.5,True,37.5
Meghalaya,,73.38041788743404,,94.0,150.0,124.5,-30.5,True,25.5
Meghalaya,,242.01381744743404,,94.0,121.0,124.5,-30.5,True,-3.5
Meghalaya,,2.938916406421711,,94.0,180.0,124.5,-30.5,True,55.5
Mizoram,,209.9941140832329,,94.0,126.0,124.5,-30.5,True,1.5
Mizoram,,28.04030215623761,,94.0,163.0,124.5,-30.5,True,38.5
Mizoram,,7.753866614018323,,94.0,175.0,124.5,-30.5,True,50.5
Mizoram,,122.26172513183924,,94.0,133.0,124.5,-30.5,True,8.5
Mizoram,,50.40381830568945,,94.0,158.0,124.5,-30.5,True,33.5
Mizoram,,1.534401875448133,,94.0,183.0,124.5,-30.5,True,58.5
Nagaland,,301.2403914005092,,94.0,115.0,124.5,-30.5,True,-9.5
Nagaland,,59.28467729301519,,94.0,153.0,124.5,-30.5,True,28.5
Nagaland,,16.061408755652028,,94.0,171.0,124.5,-30.5,True,46.5
Nagaland,,123.56699465897827,,94.0,132.0,124.5,-30.5,True,7.5
Nagaland,,100.23181244677473,,94.0,138.0,124.5,-30.5,True,13.5
Nagaland,,2.095498246088878,,94.0,182.0,124.5,-30.5,True,57.5
Odisha,,9413.201605552476,,94.0,14.0,124.5,-30.5,True,-110.5
Odisha,,2096.562619101373,,94.0,64.0,124.5,-30.5,True,-60.5
Odisha,,1128.1366388317645,,94.0,82.0,124.5,-30.5,True,-42.5
Odisha,,3550.068084015729,,94.0,48.0,124.5,-30.5,True,-76.5
Odisha,,2542.567860533118,,94.0,59.0,124.5,-30.5,True,-65.5
Odisha,,95.86640307048242,,94.0,139.0,124.5,-30.5,True,14.5
Other Union Territories,,3.458289963816964,,94.0,178.0,124.5,-30.5,True,53.5
Other Union Territories,,828.6940116167268,,94.0,91.0,124.5,-30.5,True,-33.5
Other Union Territories,,221.44184049981305,,94.0,125.0,124.5,-30.5,True,0.5
Other Union Territories,,53.870429661754514,,94.0,154.0,124.5,-30.5,True,29.5
Other Union Territories,,399.3707183140142,,94.0,110.0,124.5,-30.5,True,-14.5
Other Union Territories,,150.55273317732804,,94.0,128.0,124.5,-30.5,True,3.5
Punjab,,8382.881857254393,,94.0,18.0,124.5,-30.5,True,-106.5
Punjab,,1765.2281244541089,,94.0,73.0,124.5,-30.5,True,-51.5
Punjab,,1057.504316569756,,94.0,84.0,124.5,-30.5,True,-40.5
Punjab,,3678.691172230724,,94.0,46.0,124.5,-30.5,True,-78.5
Punjab,,1829.8523359590308,,94.0,71.0,124.5,-30.5,True,-53.5
Punjab,,51.60590804077317,,94.0,157.0,124.5,-30.5,True,32.5
Rajasthan,,14771.263866491296,11762.0,94.0,8.0,34.5,59.5,True,-26.5
Rajasthan,,3913.1449470306034,11762.0,94.0,43.0,34.5,59.5,True,8.5
Rajasthan,,770.1383677504738,11762.0,94.0,94.0,34.5,59.5,True,59.5
Rajasthan,,6600.6994015649725,11762.0,94.0,25.0,34.5,59.5,True,-9.5
Rajasthan,,3366.6419595391494,11762.0,94.0,51.0,34.5,59.5,True,16.5
Rajasthan,,120.63919060610353,11762.0,94.0,134.0,34.5,59.5,True,99.5
Sikkim,,74.24776092062139,,94.0,149.0,124.5,-30.5,True,24.5
Sikkim,,22.924664342744823,,94.0,166.0,124.5,-30.5,True,41.5
Sikkim,,2.883262447583112,,94.0,181.0,124.5,-30.5,True,56.5
Sikkim,,12.336543174241216,,94.0,174.0,124.5,-30.5,True,49.5
Sikkim,,35.55214635303052,,94.0,161.0,124.5,-30.5,True,36.5
Sikkim,,0.55114460302172,,94.0,186.0,124.5,-30.5,True,61.5
Tamil Nadu,,18374.883734153223,18347.0,94.0,4.0,10.5,83.5,True,-6.5
Tamil Nadu,,4340.085093976728,18347.0,94.0,39.0,10.5,83.5,True,28.5
Tamil Nadu,,1854.621130734318,18347.0,94.0,69.0,10.5,83.5,True,58.5
Tamil Nadu,,7999.543871996404,18347.0,94.0,21.0,10.5,83.5,True,10.5
Tamil Nadu,,4055.285612127204,18347.0,94.0,42.0,10.5,83.5,True,31.5
Tamil Nadu,,125.34802531856968,18347.0,94.0,131.0,10.5,83.5,True,120.5
Telangana,,13310.886617844531,7660.0,94.0,10.0,58.5,35.5,True,-48.5
Telangana,,4323.950293767766,7660.0,94.0,40.0,58.5,35.5,True,-18.5
Telangana,,610.6367233153104,7660.0,94.0,102.0,58.5,35.5,True,43.5
Telangana,,5224.065682406084,7660.0,94.0,29.0,58.5,35.5,True,-29.5
Telangana,,3046.234691625872,7660.0,94.0,54.0,58.5,35.5,True,-4.5
Telangana,,105.9992267295038,7660.0,94.0,136.0,58.5,35.5,True,77.5
Tripura,,654.0280431890707,,94.0,101.0,124.5,-30.5,True,-23.5
Tripura,,268.8293963646631,,94.0,116.0,124.5,-30.5,True,-8.5
Tripura,,53.22384076894896,,94.0,155.0,124.5,-30.5,True,30.5
Tripura,,86.13828833101299,,94.0,146.0,124.5,-30.5,True,21.5
Tripura,,242.6474373834978,,94.0,120.0,124.5,-30.5,True,-4.5
Tripura,,3.189080340947728,,94.0,179.0,124.5,-30.5,True,54.5
Uttar Pradesh,,48572.46392036178,23652.0,94.0,1.0,4.5,89.5,True,-3.5
Uttar Pradesh,,14661.4414390005,23652.0,94.0,9.0,4.5,89.5,True,4.5
Uttar Pradesh,,4630.50500944637,23652.0,94.0,36.0,4.5,89.5,True,31.5
Uttar Pradesh,,19678.973462249127,23652.0,94.0,2.0,4.5,89.5,True,-2.5
Uttar Pradesh,,9357.59726305528,23652.0,94.0,15.0,4.5,89.5,True,10.5
Uttar Pradesh,,243.9467466105096,23652.0,94.0,119.0,4.5,89.5,True,114.5
Uttarakhand,,4520.258151336345,,94.0,37.0,124.5,-30.5,True,-87.5
Uttarakhand,,1011.660579576442,,94.0,85.0,124.5,-30.5,True,-39.5
Uttarakhand,,445.2810812961437,,94.0,108.0,124.5,-30.5,True,-16.5
Uttarakhand,,1944.28757816592,,94.0,66.0,124.5,-30.5,True,-58.5
Uttarakhand,,1094.594150812194,,94.0,83.0,124.5,-30.5,True,-41.5
Uttarakhand,,24.43476148564265,,94.0,165.0,124.5,-30.5,True,40.5
West Bengal,,11827.354758394156,,94.0,13.0,124.5,-30.5,True,-111.5
West Bengal,,4786.504696589176,,94.0,32.0,124.5,-30.5,True,-92.5
West Bengal,,1419.8405190530111,,94.0,77.0,124.5,-30.5,True,-47.5
West Bengal,,2728.503741229002,,94.0,58.0,124.5,-30.5,True,-66.5
West Bengal,,2800.5959395715777,,94.0,57.0,124.5,-30.5,True,-67.5
West Bengal,,91.90986195138638,,94.0,142.0,124.5,-30.5,True,17.5
